⺀	⿱丶丶
㛗	⿰女⿱⿻十从一
㛘	⿰女⿱龸子
㛙	⿰女辛
㛚	⿰女⿱龴用
㛛	⿰女身
㛜	⿱⿲亻丨攵女
㛝	⿰女貝
㛞	⿰女⿱王廾
㛟	⿰女⿳𠂊冂大
㛠	⿰女⿵门日
㛡	⿰女⿱宀⿱二儿
㛣	⿰女⿱口贝
㛤	⿰女⿰⿵⿱一冂丶⿵⿱一冂丶
㛥	⿰女⿱水日
㛦	⿰女⿰木木
㛧	⿰女⿱山石
㛨	⿰女⿱𦍌儿
㛩	⿰女⿱亠〾肙
㛫	⿰女⿱日⿹勹⿱丿丿
㛬	⿰女坴
㛭	⿰女⿱龷日
㛮	⿰女⿱⿱宀火又
㛰	⿰女⿱民日
㛱	⿰女⿳田一〾卜
㛲	⿰女頁
㛳	⿱⿱丶⿳一丷⿱冖巾女
㛴	⿰女⿱巛囟
㛵	⿰女⿱爫冉
㛶	⿰女⿱山⿸⿻丿一火
㛷	⿱⿰禾⿺尢丶女
㛸	⿰女壴
㛹	⿰女⿰亻⿱一⿻臼人
㛺	⿰女音
㛻	⿰女⿱大⿱土土
㛽	⿰女⿱宀米
㛾	⿰女⿵戌口
㛿	⿰女⿳卅冖巾
㜀	⿰女⿰木目
㜁	⿰女⿱木⿱日一
㜂	⿱⿰⿱土土寸女
㜃	⿰女⿰亻言
㜄	⿰女風
㜅	⿰女⿱玄田
㜆	⿰女⿺辶米
㜇	⿰女⿱⿱土土心
㜈	⿱⿰矛⿱攵力女
㜉	⿰女⿱巛邑
㜊	⿰女⿸尸⿱龷〾卜
㜋	⿰女⿳丷兀皿
㜌	⿹⿰⿳士冖一殳女
㜍	⿰女⿸广⿱肀口
㜎	⿰女⿱爫⿱幺大
㜏	⿰女⿱口貝
㜐	⿰女⿱止豆
㜒	⿰女⿱𦥑廾
㜓	⿰女⿱艹⿱亼口
㜔	⿰女⿱立⿱口儿
㜕	⿰女⿺辶車
㜗	⿰女⿱⿱⿱厶⿰厶厶人彡
㜙	⿰女鹿
㜚	⿰女⿱宀⿰亻⿱丆日
㜛	⿰女⿰車欠
㜜	⿰女⿰⿱龶勹攵
